id_kabkot,id_kecamatan,id_desa_kelurahan,nama_kelurahan
32.01,32.01.21,32.01.21.2001,MALASARI
32.01,32.01.21,32.01.21.2004,BANTARKARET
32.01,32.01.21,32.01.21.2003,CISARUA
32.01,32.01.21,32.01.21.2002,CURUGBITUNG
32.01,32.01.21,32.01.21.2007,NANGGUNG
32.01,32.01.21,32.01.21.2009,PANGKALJAYA
32.01,32.01.21,32.01.21.2010,SUKALUYU
32.01,32.01.21,32.01.21.2005,HAMBARO
32.01,32.01.21,32.01.21.2006,KALONGLIUD
32.01,32.01.21,32.01.21.2008,PARAKANMUNCANG
32.01,32.01.21,32.01.21.2011,BATU TULIS
32.01,32.01.14,32.01.14.2002,PURASARI
32.01,32.01.14,32.01.14.2008,PURASEDA
32.01,32.01.14,32.01.14.2003,KARYASARI
32.01,32.01.14,32.01.14.2004,PABANGBON
32.01,32.01.14,32.01.14.2005,KARACAK
32.01,32.01.14,32.01.14.2006,BARENGKOK
32.01,32.01.14,32.01.14.2010,CIBEBER II
32.01,32.01.14,32.01.14.2009,CIBEBER I
32.01,32.01.14,32.01.14.2007,LEUWIMEKAR
32.01,32.01.14,32.01.14.2001,LEUWILIANG
32.01,32.01.14,32.01.14.2011,KAREHKEL
32.01,32.01.39,32.01.39.2004,WANGUNJAYA
32.01,32.01.39,32.01.39.2003,SADENG KOLOT
32.01,32.01.39,32.01.39.2001,LEUWISADENG
32.01,32.01.39,32.01.39.2008,SIBANTENG
32.01,32.01.39,32.01.39.2002,BABAKAN SADENG
32.01,32.01.39,32.01.39.2007,SADENG
32.01,32.01.39,32.01.39.2006,KALONG II
32.01,32.01.39,32.01.39.2005,KALONG I
32.01,32.01.17,32.01.17.2002,CIBUNIAN
32.01,32.01.17,32.01.17.2001,PURWABAKTI
32.01,32.01.17,32.01.17.2015,CIASMARA
32.01,32.01.17,32.01.17.2013,CIASIHAN
32.01,32.01.17,32.01.17.2014,GUNUNGSARI
32.01,32.01.17,32.01.17.2005,GUNUNGBUNDER II
32.01,32.01.17,32.01.17.2010,GUNUNGBUNDER I
32.01,32.01.17,32.01.17.2009,CIBENING
32.01,32.01.17,32.01.17.2012,GUNUNG PICUNG
32.01,32.01.17,32.01.17.2011,CIBITUNG KULON
32.01,32.01.17,32.01.17.2003,CIBITUNGWETAN
32.01,32.01.17,32.01.17.2008,PAMIJAHAN
32.01,32.01.17,32.01.17.2006,PASAREAN
32.01,32.01.17,32.01.17.2004,GUNUNGMENYAN
32.01,32.01.17,32.01.17.2007,CIMAYANG
32.01,32.01.16,32.01.16.2001,SITU UDIK
32.01,32.01.16,32.01.16.2002,SITU ILIR
32.01,32.01.16,32.01.16.2012,CIBATOK II
32.01,32.01.16,32.01.16.2005,CIARUTEUN UDIK
32.01,32.01.16,32.01.16.2004,CIBATOK I
32.01,32.01.16,32.01.16.2013,SUKAMAJU
32.01,32.01.16,32.01.16.2003,CEMPLANG
32.01,32.01.16,32.01.16.2014,GALUGA
32.01,32.01.16,32.01.16.2009,DUKUH
32.01,32.01.16,32.01.16.2008,CIMANGGU II
32.01,32.01.16,32.01.16.2007,CIMANGGU I
32.01,32.01.16,32.01.16.2015,GIRIMULYA
32.01,32.01.16,32.01.16.2006,LEUWI KOLOT
32.01,32.01.16,32.01.16.2011,CIARUTEUN ILIR
32.01,32.01.16,32.01.16.2010,CIJUJUNG
32.01,32.01.15,32.01.15.2013,CIAMPEA UDIK
32.01,32.01.15,32.01.15.2002,CINANGKA
32.01,32.01.15,32.01.15.2006,CIBUNTU
32.01,32.01.15,32.01.15.2007,CICADAS
32.01,32.01.15,32.01.15.2005,TEGALWARU
32.01,32.01.15,32.01.15.2004,BOJONGJENGKOL
32.01,32.01.15,32.01.15.2003,CIHIDEUNGUDIK
32.01,32.01.15,32.01.15.2010,CIHIDEUNGHILIR
32.01,32.01.15,32.01.15.2011,CIBANTENG
32.01,32.01.15,32.01.15.2009,BOJONGRANGKAS
32.01,32.01.15,32.01.15.2008,CIBADAK
32.01,32.01.15,32.01.15.2012,BENTENG
32.01,32.01.15,32.01.15.2001,CIAMPEA
32.01,32.01.40,32.01.40.2001,TAPOS I
32.01,32.01.40,32.01.40.2006,GUNUNGMALANG
32.01,32.01.40,32.01.40.2002,TAPOS II
32.01,32.01.40,32.01.40.2004,SITUDAUN
32.01,32.01.40,32.01.40.2003,CIBITUNG TENGAH
32.01,32.01.40,32.01.40.2005,CINANGNENG
32.01,32.01.40,32.01.40.2007,GUNUNG MULYA
32.01,32.01.30,32.01.30.2006,PURWASARI
32.01,32.01.30,32.01.30.2005,PETIR
32.01,32.01.30,32.01.30.2001,SUKADAMAI
32.01,32.01.30,32.01.30.2004,SUKAWENING
32.01,32.01.30,32.01.30.2010,NEGLASARI
32.01,32.01.30,32.01.30.2003,SINARSARI
32.01,32.01.30,32.01.30.2002,CIHERANG
32.01,32.01.30,32.01.30.2009,DRAMAGA
32.01,32.01.30,32.01.30.2008,BABAKAN
32.01,32.01.30,32.01.30.2007,CIKARAWANG
32.01,32.01.29,32.01.29.2009,KOTA BATU
32.01,32.01.29,32.01.29.2001,MEKARJAYA
32.01,32.01.29,32.01.29.2004,PARAKAN
32.01,32.01.29,32.01.29.2005,CIOMAS
32.01,32.01.29,32.01.29.2006,PAGELARAN
32.01,32.01.29,32.01.29.2007,SUKAMAKMUR
32.01,32.01.29,32.01.29.2008,CIAPAUS
32.01,32.01.29,32.01.29.2002,SUKAHARJA
32.01,32.01.29,32.01.29.1003,PADASUKA
32.01,32.01.29,32.01.29.2011,CIOMAS RAHAYU
32.01,32.01.29,32.01.29.2010,LALADON
32.01,32.01.31,32.01.31.2008,SUKAJADI
32.01,32.01.31,32.01.31.2005,SUKALUYU
32.01,32.01.31,32.01.31.2007,SUKAJAYA
32.01,32.01.31,32.01.31.2006,SUKARESMI
32.01,32.01.31,32.01.31.2003,PASIREURIH
32.01,32.01.31,32.01.31.2004,TAMANSARI
32.01,32.01.31,32.01.31.2001,SUKAMANTRI
32.01,32.01.31,32.01.31.2002,SINARGALIH
32.01,32.01.28,32.01.28.2003,WARUNG MENTENG
32.01,32.01.28,32.01.28.2001,CIJERUK
32.01,32.01.28,32.01.28.2002,CIPELANG
32.01,32.01.28,32.01.28.2006,CIBALUNG
32.01,32.01.28,32.01.28.2005,CIPICUNG
32.01,32.01.28,32.01.28.2009,TANJUNGSARI
32.01,32.01.28,32.01.28.2004,TAJUR HALANG
32.01,32.01.28,32.01.28.2008,PALASARI
32.01,32.01.28,32.01.28.2007,SUKAHARJA
32.01,32.01.38,32.01.38.2006,TUGUJAYA
32.01,32.01.38,32.01.38.2001,CIGOMBONG
32.01,32.01.38,32.01.38.2002,WATESJAYA
32.01,32.01.38,32.01.38.2004,SROGOL
32.01,32.01.38,32.01.38.2003,CIBURUY
32.01,32.01.38,32.01.38.2005,CISALADA
32.01,32.01.38,32.01.38.2007,PASIRJAYA
32.01,32.01.38,32.01.38.2008,CIBURAYUT
32.01,32.01.38,32.01.38.2009,CIADEG
32.01,32.01.27,32.01.27.2010,PASIR BUNCIR
32.01,32.01.27,32.01.27.2006,CINAGARA
32.01,32.01.27,32.01.27.2012,TANGKIL
32.01,32.01.27,32.01.27.2001,PASIR MUNCANG
32.01,32.01.27,32.01.27.2009,MUARAJAYA
32.01,32.01.27,32.01.27.2004,CARINGIN
32.01,32.01.27,32.01.27.2011,LEMAH DUHUR
32.01,32.01.27,32.01.27.2007,CIMANDE
32.01,32.01.27,32.01.27.2008,PANCAWATI
32.01,32.01.27,32.01.27.2003,CIDERUM
32.01,32.01.27,32.01.27.2005,CIHERANG PONDOK
32.01,32.01.27,32.01.27.2002,CIMANDE HILIR
32.01,32.01.24,32.01.24.2001,CILEUNGSI
32.01,32.01.24,32.01.24.2002,CITAPEN
32.01,32.01.24,32.01.24.2003,CIBEDUG
32.01,32.01.24,32.01.24.2010,BOJONG MURNI
32.01,32.01.24,32.01.24.2004,JAMBULUWUK
32.01,32.01.24,32.01.24.2005,BANTARSARI
32.01,32.01.24,32.01.24.2011,BANJAR WANGI
32.01,32.01.24,32.01.24.2013,BITUNGSARI
32.01,32.01.24,32.01.24.2006,TELUKPINANG
32.01,32.01.24,32.01.24.2007,BANJAR WARU
32.01,32.01.24,32.01.24.2012,CIAWI
32.01,32.01.24,32.01.24.2008,BENDUNGAN
32.01,32.01.24,32.01.24.2009,PANDAN SARI
32.01,32.01.25,32.01.25.2005,CITEKO
32.01,32.01.25,32.01.25.2003,CIBEUREUM
32.01,32.01.25,32.01.25.2006,TUGU SELATAN
32.01,32.01.25,32.01.25.2009,TUGU UTARA
32.01,32.01.25,32.01.25.2001,BATULAYANG
32.01,32.01.25,32.01.25.1010,CISARUA
32.01,32.01.25,32.01.25.2008,KOPO
32.01,32.01.25,32.01.25.2007,LEUWIMALANG
32.01,32.01.25,32.01.25.2002,JOGJOGAN
32.01,32.01.25,32.01.25.2004,CILEMBER
32.01,32.01.26,32.01.26.2011,SUKARESMI
32.01,32.01.26,32.01.26.2008,SUKAGALIH
32.01,32.01.26,32.01.26.2002,KUTA
32.01,32.01.26,32.01.26.2004,SUKAKARYA
32.01,32.01.26,32.01.26.2007,SUKAMANAH
32.01,32.01.26,32.01.26.2001,SUKAMAJU
32.01,32.01.26,32.01.26.2010,SUKAMAHI
32.01,32.01.26,32.01.26.2003,GADOG
32.01,32.01.26,32.01.26.2006,CIPAYUNG
32.01,32.01.26,32.01.26.2009,CIPAYUNG GIRANG
32.01,32.01.26,32.01.26.2005,MEGAMENDUNG
32.01,32.01.26,32.01.26.2012,PASIR ANGIN
32.01,32.01.04,32.01.04.2004,CIBANON
32.01,32.01.04,32.01.04.2001,GUNUNGGEULIS
32.01,32.01.04,32.01.04.2005,NAGRAK
32.01,32.01.04,32.01.04.2006,SUKATANI
32.01,32.01.04,32.01.04.2007,SUKARAJA
32.01,32.01.04,32.01.04.2008,CIKEAS
