id_kabkot,nama_kabupaten_kota
32.01,KABUPATEN BOGOR
32.02,KABUPATEN SUKABUMI
32.03,KABUPATEN CIANJUR
32.04,KABUPATEN BANDUNG
32.05,KABUPATEN GARUT
32.06,KABUPATEN TASIKMALAYA
32.07,KABUPATEN CIAMIS
32.08,KABUPATEN KUNINGAN
32.09,KABUPATEN CIREBON
32.10,KABUPATEN MAJALENGKA
32.11,KABUPATEN SUMEDANG
32.12,KABUPATEN INDRAMAYU
32.13,KABUPATEN SUBANG
32.14,KABUPATEN PURWAKARTA
32.15,KABUPATEN KARAWANG
32.16,KABUPATEN BEKASI
32.17,KABUPATEN BANDUNG BARAT
32.18,KABUPATEN PANGANDARAN
32.71,KOTA BOGOR
32.72,KOTA SUKABUMI
32.73,KOTA BANDUNG
32.74,KOTA CIREBON
32.75,KOTA BEKASI
32.76,KOTA DEPOK
32.77,KOTA CIMAHI
32.78,KOTA TASIKMALAYA
32.79,KOTA BANJAR
