id_kabkot,id_kecamatan,nama_kecamatan
32.01,32.01.21,NANGGUNG
32.01,32.01.14,LEUWILIANG
32.01,32.01.39,LEUWISADENG
32.01,32.01.17,PAMIJAHAN
32.01,32.01.16,CIBUNGBULANG
32.01,32.01.15,CIAMPEA
32.01,32.01.40,TENJOLAYA
32.01,32.01.30,DRAMAGA
32.01,32.01.29,CIOMAS
32.01,32.01.31,TAMANSARI
32.01,32.01.28,CIJERUK
32.01,32.01.38,CIGOMBONG
32.01,32.01.27,CARINGIN
32.01,32.01.24,CIAWI
32.01,32.01.25,CISARUA
32.01,32.01.26,MEGAMENDUNG
32.01,32.01.04,SUKARAJA
32.01,32.01.05,BABAKAN MADANG
32.01,32.01.09,SUKAMAKMUR
32.01,32.01.08,CARIU
32.01,32.01.36,TANJUNGSARI
32.01,32.01.06,JONGGOL
32.01,32.01.07,CILEUNGSI
32.01,32.01.32,KLAPANUNGGAL
32.01,32.01.02,GUNUNG PUTRI
32.01,32.01.03,CITEUREUP
32.01,32.01.01,CIBINONG
32.01,32.01.13,BOJONG GEDE
32.01,32.01.37,TAJURHALANG
32.01,32.01.12,KEMANG
32.01,32.01.34,RANCA BUNGUR
32.01,32.01.10,PARUNG
32.01,32.01.33,CISEENG
32.01,32.01.11,GUNUNG SINDUR
32.01,32.01.18,RUMPIN
32.01,32.01.22,CIGUDEG
32.01,32.01.35,SUKAJAYA
32.01,32.01.19,JASINGA
32.01,32.01.23,TENJO
32.01,32.01.20,PARUNG PANJANG
32.02,32.02.22,CIEMAS
32.02,32.02.26,CIRACAP
32.02,32.02.20,WALURAN
32.02,32.02.24,SURADE
32.02,32.02.25,CIBITUNG
32.02,32.02.21,JAMPANG KULON
32.02,32.02.46,CIMANGGU
32.02,32.02.23,KALIBUNDER
32.02,32.02.45,TEGAL BULEUD
32.02,32.02.43,CIDOLOG
32.02,32.02.41,SAGARANTEN
32.02,32.02.44,CIDADAP
32.02,32.02.42,CURUG KEMBAR
32.02,32.02.37,PABUARAN
32.02,32.02.07,LENGKONG
32.02,32.02.01,PELABUHANRATU
32.02,32.02.02,SIMPENAN
32.02,32.02.09,WARUNG KIARA
32.02,32.02.04,BANTARGADUNG
32.02,32.02.08,JAMPANG TENGAH
32.02,32.02.38,PURABAYA
32.02,32.02.10,CIKEMBAR
32.02,32.02.39,NYALINDUNG
32.02,32.02.40,GEGERBITUNG
32.02,32.02.33,SUKARAJA
32.02,32.02.34,KEBONPEDES
32.02,32.02.35,CIREUNGHAS
32.02,32.02.36,SUKALARANG
32.02,32.02.32,SUKABUMI
32.02,32.02.30,KADUDAMPIT
32.02,32.02.29,CISAAT
32.02,32.02.27,GUNUNG GURUH
32.02,32.02.11,CIBADAK
32.02,32.02.28,CICANTAYAN
32.02,32.02.31,CARINGIN
32.02,32.02.12,NAGRAK
32.02,32.02.47,CIAMBAR
32.02,32.02.16,CICURUG
32.02,32.02.17,CIDAHU
32.02,32.02.15,PARAKANSALAK
32.02,32.02.13,PARUNGKUDA
32.02,32.02.14,BOJONGGENTENG
32.02,32.02.18,KALAPANUNGGAL
32.02,32.02.06,CIKIDANG
32.02,32.02.05,CISOLOK
32.02,32.02.03,CIKAKAK
32.02,32.02.19,KABANDUNGAN
32.03,32.03.22,AGRABINTA
32.03,32.03.30,LELES
32.03,32.03.21,SINDANGBARANG
32.03,32.03.23,CIDAUN
32.03,32.03.24,NARINGGUL
32.03,32.03.20,CIBINONG
32.03,32.03.26,CIKADU
32.03,32.03.19,TANGGEUNG
32.03,32.03.32,PASIRKUDA
32.03,32.03.17,KADUPANDAK
32.03,32.03.29,CIJATI
32.03,32.03.16,TAKOKAK
32.03,32.03.14,SUKANAGARA
32.03,32.03.18,PAGELARAN
32.03,32.03.15,CAMPAKA
32.03,32.03.25,CAMPAKAMULYA
32.03,32.03.03,CIBEBER
32.03,32.03.02,WARUNGKONDANG
32.03,32.03.27,GEKBRONG
32.03,32.03.04,CILAKU
32.03,32.03.09,SUKALUYU
32.03,32.03.06,BOJONGPICUNG
32.03,32.03.31,HAURWANGI
32.03,32.03.05,CIRANJANG
32.03,32.03.08,MANDE
32.03,32.03.07,KARANGTENGAH
32.03,32.03.01,CIANJUR
32.03,32.03.11,CUGENANG
32.03,32.03.10,PACET
32.03,32.03.28,CIPANAS
32.03,32.03.13,SUKARESMI
32.03,32.03.12,CIKALONGKULON
32.04,32.04.39,CIWIDEY
32.04,32.04.40,RANCABALI
32.04,32.04.38,PASIRJAMBU
32.04,32.04.17,CIMAUNG
32.04,32.04.15,PANGALENGAN
32.04,32.04.31,KERTASARI
32.04,32.04.30,PACET
32.04,32.04.36,IBUN
32.04,32.04.35,PASEH
32.04,32.04.27,CIKANCUNG
32.04,32.04.25,CICALENGKA
32.04,32.04.26,NAGREG
32.04,32.04.28,RANCAEKEK
32.04,32.04.33,MAJALAYA
32.04,32.04.34,SOLOKANJERUK
32.04,32.04.29,CIPARAY
32.04,32.04.32,BALEENDAH
32.04,32.04.16,ARJASARI
32.04,32.04.13,BANJARAN
32.04,32.04.44,CANGKUANG
32.04,32.04.14,PAMEUNGPEUK
32.04,32.04.11,KATAPANG
32.04,32.04.37,SOREANG
32.04,32.04.46,KUTAWARINGIN
32.04,32.04.10,MARGAASIH
32.04,32.04.09,MARGAHAYU
32.04,32.04.12,DAYEUHKOLOT
32.04,32.04.08,BOJONGSOANG
32.04,32.04.05,CILEUNYI
32.04,32.04.07,CILENGKRANG
32.04,32.04.06,CIMENYAN
32.05,32.05.35,CISEWU
32.05,32.05.36,CARINGIN
32.05,32.05.37,TALEGONG
32.05,32.05.31,BUNGBULANG
32.05,32.05.32,MEKARMUKTI
32.05,32.05.34,PAMULIHAN
32.05,32.05.33,PAKENJENG
32.05,32.05.30,CIKELET
32.05,32.05.27,PAMEUNGPEUK
32.05,32.05.29,CIBALONG
32.05,32.05.28,CISOMPET
32.05,32.05.26,PEUNDEUY
32.05,32.05.24,SINGAJAYA
32.05,32.05.25,CIHURIP
32.05,32.05.22,CIKAJANG
32.05,32.05.23,BANJARWANGI
32.05,32.05.19,CILAWU
32.05,32.05.17,BAYONGBONG
32.05,32.05.18,CIGEDUG
32.05,32.05.20,CISURUPAN
